"","INDEX","YEAR","MN","HR","DT","...SLP","..MSLP","..DBT","..WBT","..DPT",".RH","..VP","DD","FFF","AW","VV","Cl","A","Cm","A.1","Ch","A.2","Dl","Dm","Dh","TC","h","c","a","Ht","..R.F",".EVP","DW","P","H",".WAT","Date"
"1146",43063,2008,2,7.5,20,950.4,1012.05,26.55,16.3,8.45,36.5,111.5,13.5,1,3.5,96.5,0,0,0,0,0,0,0,0,0,0,9,0,0,99,0,3.15,23.55,NA,NA,NA,NA
"1147",43063,2008,2,7.5,21,951.5,1013.4,26,16.8,9.6,45,124,0,0,3.5,96.5,0,0,0,0,0,0,0,0,0,0,9,0,0,99,0,2.75,23.7,NA,NA,NA,NA
"1148",43063,2008,2,7.5,22,950.6,1012.45,25.65,16.9,10.7,44.5,129.5,14.5,3,3.5,96.5,2.5,0.5,0,0,0,0,4.5,0,0,0.5,7,3,0.5,62.5,0,2.9,16.5,NA,NA,NA,NA
"1149",43063,2008,2,7.5,23,949.75,1011.6,25.65,17.3,11.45,48,137,13.5,3,3.5,96.5,0,0,0,0,0,0,0,0,0,0,9,0,0,99,0,2.95,23.4,NA,NA,NA,NA
"1150",43063,2008,2,7.5,24,949.25,1011.3,24.7,16,9.35,44.5,118.5,14.5,4,5,97,0,0,0,0,0,0,0,0,0,0,9,0,0,99,0,3.2,23.2,NA,NA,NA,NA
"1151",43063,2008,2,7.5,25,949.25,1011,25.8,15.4,6.8,34.5,100,13.5,4,4.5,97,0,0,0,0,0,0,0,0,0,0,9,0,0,99,0,3.4,22.6,NA,NA,NA,NA
"1152",43063,2008,2,7.5,26,949.45,1011.2,25.75,14.9,5.15,33,91,4.5,2,3.5,96,0,0,0,0,0,0,0,0,0,0,9,0,0,99,0,3.6,22.35,NA,NA,NA,NA
"1153",43063,2008,2,7.5,27,951.45,1013.55,25.15,15.05,6.45,38,98.5,2.5,1,3.5,96.5,0,0,0,0,0,0,0,0,0,0,9,0,0,99,0,3.4,22.8,NA,NA,NA,NA
"1154",43063,2008,2,7.5,28,951.1,1013.15,24.9,14.1,3.9,33,83.5,7,1,4,96.5,0,0,0,0,0,0,0,0,0,0,9,0,0,99,0,3.2,22,NA,NA,NA,NA
"1155",43063,2008,2,7.5,29,949.4,1011.35,25.1,14.8,5.65,37.5,94.5,4.5,1,2.5,96.5,0,0,0,0,0,0,0,0,0,0,9,0,0,99,0,3.2,22.45,NA,NA,NA,NA
"1156",43063,2008,3,7.5,1,948.15,1009.75,26.45,15.35,6.05,34,111.5,5.5,1,50,48.5,0,0,0,0,0,0,0,0,0,4.5,4.5,0,49.5,49.5,0.75,1.85,15.45,NA,NA,NA,NA
"1157",43063,2008,3,7.5,2,948.6,1010.55,25.5,14.95,5.7,37,94,0,0,2.5,96.5,0,0,0,0,0,0,0,0,0,0,9,0,0,99,0,2.95,15.2,NA,NA,NA,NA
"1158",43063,2008,3,7.5,3,949.1,1010.5,27.35,16.2,7.4,33,104,0,0,2.5,96.5,0,0,0,0,0,0,0,0,0,0,9,0,0,99,0,3.2,15.2,NA,NA,NA,NA
"1159",43063,2008,3,7.5,4,947.75,1009.05,26.65,15.9,6.8,37,103,0,0,3,96.5,0,0,0,0,0,0,0,0,0,0,9,0,0,99,0,3.4,15.2,NA,NA,NA,NA
"1160",43063,2008,3,7.5,5,948.75,1010.05,27.45,15.7,5.35,30.5,93,4.5,2,3,96.5,0,0,0,0,0,0,0,0,0,0,9,0,0,99,0,3.3,15.25,NA,NA,NA,NA
"1161",43063,2008,3,7.5,6,949.8,1011.15,28,16.7,7,35.5,108,4.5,2,3,96.5,0,0,0,0,0,0,0,0,0,0,9,0,0,99,0,3.1,15.8,NA,NA,NA,NA
"1162",43063,2008,3,7.5,7,949.95,1011.55,27.4,17.15,9.3,41,121,3.5,1,3,96.5,0,0,0,0,0,0,0,0,0,0,9,0,0,99,0,2.85,16,NA,NA,NA,NA
"1163",43063,2008,3,7.5,8,948.65,1009.75,28.4,17.5,9.25,36.5,120.5,2.5,1,3,96.5,0,0,0,0,0.5,1,0,0,4.5,1,9,0,1,84.5,0,3.1,15.9,NA,NA,NA,NA
"1164",43063,2008,3,7.5,9,948.25,1009.45,28.1,17.15,8.6,36.5,116,4.5,3,6,96.5,2.5,1,0,0,0.5,0.5,4.5,0,4.5,3,7,3,1,62.5,0,3.7,15.2,NA,NA,NA,NA
"1165",43063,2008,3,7.5,10,948.75,1009.95,27.95,17.1,8.5,36.5,116,4.5,2,2.5,96.5,2.5,1,1.5,0.5,3.5,5,4.5,4.5,9,6.5,7,4,2,47,0,2.5,14.2,NA,NA,NA,NA
"1166",43063,2008,3,7.5,11,947.45,1008.7,27.4,16.7,8.2,37,112,3.5,4,5,96.5,2.5,1.5,1.5,1.5,1,3,4.5,4.5,9,6,7,3,4,48,0,2.7,14.9,NA,NA,NA,NA
"1167",43063,2008,3,7.5,12,946.65,1007.85,27.8,16.7,7.4,35,109,4.5,2,4.5,96.5,2.5,0.5,1.5,0.5,1,2,4.5,4.5,9,3,7,3,1.5,48,0,3.9,14.9,NA,NA,NA,NA
"1168",43063,2008,3,7.5,13,946.2,1007.35,27.9,18.4,12.2,40.5,142.5,14.5,4,3.5,96.5,4.5,3,0,0,0,0,4.5,0,0,2.5,7,3,1,62.5,0,3.35,15.3,NA,NA,NA,NA
"1169",43063,2008,3,7.5,14,947.25,1008.2,28.8,18.45,11.65,37.5,135,4.5,3,5.5,96.5,4,2,0,0,0,0,4.5,0,0,2,7,3,1.5,62.5,0,3.8,16.3,NA,NA,NA,NA
"1170",43063,2008,3,7.5,15,946.6,1007.5,28.8,17.8,9.85,35,123.5,16,1,4,96.5,5,1,1.5,0.5,0,0,9,4.5,0,1.5,5,6,1,26,0,3.6,16,NA,NA,NA,NA
"1171",43063,2008,3,7.5,16,946.5,1007.45,28.5,17.8,10.2,38,126.5,0,0,5,96.5,2.5,0.5,3,2,0.5,0.5,4.5,9,4.5,3,6,4.5,2,41,0,4,16.25,NA,NA,NA,NA
"1172",43063,2008,3,7.5,17,945.3,1006.05,29.75,18.6,11.25,35.5,133.5,5.5,2,3.5,96.5,4,1,0,0,1,3,4.5,0,9,4.5,7,3,2.5,48,0,3.55,16.3,NA,NA,NA,NA
"1173",43063,2008,3,7.5,18,944.65,1005.25,30,18.6,10.45,35.5,130.5,13.5,3,3,96.5,8,2.5,1.5,1,1,1.5,9,4.5,9,5,5,6,1.5,26,0,3.6,16.3,NA,NA,NA,NA
"1174",43063,2008,3,7.5,19,944.85,1005.65,29.2,17.85,9.85,32.5,122.5,14.5,2,5,96.5,5,1.5,1.5,1,1,1,9,4.5,9,3.5,5,6,1.5,26,0,4.25,15.75,NA,NA,NA,NA
"1175",43063,2008,3,7.5,20,943,1003.7,29.9,16.65,5.65,25,93,16,3,4.5,96.5,2.5,1,0,0,1,1.5,4.5,0,9,2.5,7,3,2,48,0,3.3,16,NA,NA,NA,NA
"1176",43063,2008,3,7.5,21,944,1004.9,28.05,19.55,14.5,43.5,165.5,13.5,3,3.5,97,4.5,2,0,0,0.5,0.5,4.5,0,4.5,3.5,7,3,2,62.5,0,4.5,14.6,NA,NA,NA,NA
"1177",43063,2008,3,7.5,22,944.5,1005.7,26.7,21.6,18.95,67,220,4.5,3,5,97,6.5,4,3,2.5,4.5,0.5,9,9,0,7,5,6,3,26,0.85,2.9,15.9,NA,NA,NA,NA
"1178",43063,2008,3,7.5,23,944.8,1005.9,27.5,22,19.15,65,223.5,4.5,1,3,96.5,6.5,4,1.5,1.5,0,0,9,4.5,0,5.5,5,6,3,26,11.65,2.95,16.5,NA,NA,NA,NA
"1179",43063,2008,3,7.5,24,945.3,1006.05,29.15,19.2,12.55,42,149,4.5,1,4.5,97,2.5,0.5,1.5,0.5,0.5,1,4.5,4.5,4.5,2,7,3,0.5,62.5,0,2.75,16.3,NA,NA,NA,NA
"1180",43063,2008,3,7.5,25,945.9,1006.75,29.05,19.85,14.1,46,165,5.5,2,5,97,5,1.5,3,1,1,1.5,9,9,9,4,5,6,1.5,26,0,3.5,16.3,NA,NA,NA,NA
"1181",43063,2008,3,7.5,26,946.85,1008,28.4,18.55,12.2,39.5,142.5,4.5,3,4,97,2.5,0.5,1.5,2,1,2.5,4.5,4.5,9,5,5,4.5,2.5,41,0,3.75,16.05,NA,NA,NA,NA
"1182",43063,2008,3,7.5,27,946.1,1007.15,28.1,18.85,13.2,40.5,152.5,14.5,4,5,97,6.5,3.5,0,0,0.5,0.5,9,0,4.5,4,5,6,2.5,26,0,3.9,15.8,NA,NA,NA,NA
"1183",43063,2008,3,7.5,28,945.65,1006.4,29.8,20.1,14.35,41.5,164,13.5,3,5,97,6.5,3.5,3,2,0.5,0.5,9,9,4.5,6,5,6,3,26,0,3.25,17,NA,NA,NA,NA
"1184",43063,2008,3,7.5,29,946.3,1006.85,30.3,20.5,14.8,41,169,13.5,3,6,97,6.5,3.5,1.5,0.5,0.5,0.5,9,4.5,4.5,4.5,5,6,2.5,26,0,5.1,15.9,NA,NA,NA,NA
"1185",43063,2008,3,7.5,30,946.3,1007.05,29.5,20.6,15.65,44.5,177.5,28,9,7.5,97,6.5,1.5,1.5,1,0,0,9,4.5,0,3,5,6,1.5,26,0,4.75,15.4,NA,NA,NA,NA
"1186",43063,2008,3,7.5,31,946.7,1007.95,27.2,18.1,12.2,41,142,29,7,9,97,2.5,1,0,0,0,0,4.5,0,0,1,7,3,1,62.5,0,4.15,15.2,NA,NA,NA,NA
"1187",43063,2008,4,7.5,1,947.55,1009.25,25.8,18.1,13,50,151.5,30.5,4,7.5,97,5,1,0,0,1,2,9,0,9,3,5,6,1,26,0,4.85,24.6,NA,NA,NA,NA
"1188",43063,2008,4,7.5,2,947.85,1009.35,26.75,17.8,11.3,46,138.5,27,9,6.5,97,2.5,0.5,0,0,0.5,0.5,4.5,0,4.5,1,7,3,1,48,0,3.9,24.8,NA,NA,NA,NA
"1189",43063,2008,4,7.5,3,948.55,1010.05,26.25,16.3,7.75,39,113,28,9,11.5,97,0,0,0,0,0,0,0,0,0,0,9,0,0,99,0,4.4,23.3,NA,NA,NA,NA
"1190",43063,2008,4,7.5,4,946.1,1007.45,27,18.85,13.7,49,158,28,5,5,97,6.5,2.5,0,0,0.5,0.5,9,0,4.5,3,5,6,2,26,0,4.65,25.7,NA,NA,NA,NA
"1191",43063,2008,4,7.5,5,947.5,1008.7,27.95,19.1,12.9,48,157,0,0,5,97,4,1.5,0,0,0.5,0.5,4.5,0,4.5,2,7,3,1,62.5,0,3.3,27,NA,NA,NA,NA
"1192",43063,2008,4,7.5,6,949.75,1010.8,29.35,19.95,13.95,45.5,164.5,7,2,5,97,4,1.5,0,0,0.5,1,4.5,0,4.5,2.5,7,3,1.5,62.5,0,4.1,27.25,NA,NA,NA,NA
"1193",43063,2008,4,7.5,7,949.3,1010.65,27.75,20.05,15.45,50.5,178,14.5,3,5.5,97,4.5,2.5,0,0,0.5,1,4.5,0,4.5,3.5,6.5,4.5,0.5,58.5,0,3.35,25.7,NA,NA,NA,NA
"1194",43063,2008,4,7.5,8,948,1008.8,29.85,19.15,11.95,37.5,143.5,5.5,3,5,97,6.5,2,0,0,0.5,0.5,9,0,4.5,2.5,5,6,1.5,26,0,3.9,27.7,NA,NA,NA,NA
"1195",43063,2008,4,7.5,9,948.2,1009.5,27.4,21.1,17.85,56.5,205,16,4,5,97,4.5,3,1.5,0.5,0.5,0.5,4.5,4.5,4.5,4,6,3,2,42,0,3.9,24.85,NA,NA,NA,NA
"1196",43063,2008,4,7.5,10,946.95,1007.45,31.25,19.65,12.4,36,148,3.5,2,3.5,97,4,1,0,0,0.5,0.5,4.5,0,4.5,1.5,7,3,1,48,0,3.5,28,NA,NA,NA,NA
"1197",43063,2008,4,7.5,11,945.7,1006.05,31.75,20.35,13.05,37,155.5,4.5,1,4,97,6.5,4,1.5,0.5,0,0,9,4.5,0,4.5,5,6,2.5,26,0,4.25,28,NA,NA,NA,NA
"1198",43063,2008,4,7.5,12,945.2,1005.3,32.55,20,12.05,31,141.5,0,0,4,97,4,2,0,0,0,0,4.5,0,0,2,7,3,1.5,62.5,0,3.25,27.5,NA,NA,NA,NA
"1199",43063,2008,4,7.5,13,945.3,1005.6,31.7,19.45,11.6,31,137,16,2,4,97,4,1.5,0,0,0.5,0.5,4.5,0,4.5,2,7,3,1,62.5,0,4.6,27,NA,NA,NA,NA
"1200",43063,2008,4,7.5,14,944.8,1004.95,32.15,20.25,12.8,34,149.5,14.5,2,5,97,2.5,1,0,0,0,0,4.5,0,0,1,7,3,1,62.5,0,4.35,28.1,NA,NA,NA,NA
"1201",43063,2008,4,7.5,15,945.75,1006,32.2,19.35,10.55,29.5,130.5,13.5,3,4.5,97,0,0,0,0,0,0,0,0,0,0,9,0,0,99,0,4.85,27.55,NA,NA,NA,NA
"1202",43063,2008,4,7.5,16,946.4,1006.75,31.9,18.6,9.35,26,117.5,13.5,3,4.5,97,0,0,1.5,1.5,0,0,0,4.5,0,1.5,8,1.5,1.5,77.5,0,5.05,26.9,NA,NA,NA,NA
"1203",43063,2008,4,7.5,17,945.45,1005.55,32.5,20.7,12.65,37,158,13.5,4,5,97,0,0,0,0,1,1.5,0,0,9,1.5,9,0,1.5,70,0,4.1,31.25,NA,NA,NA,NA
"1204",43063,2008,4,7.5,18,945.3,1005.55,32,19.65,11.8,30.5,139,14.5,4,5.5,97,0,0,0,0,0,0,0,0,0,0,9,0,0,99,0,4.8,28.35,NA,NA,NA,NA
"1205",43063,2008,4,7.5,19,946.1,1006.65,30.7,19.95,13.1,39,154,28,6,7,97,0,0,0,0,0,0,0,0,0,0,9,0,0,99,0,5.1,28.8,NA,NA,NA,NA
"1206",43063,2008,4,7.5,20,945.5,1005.65,32.4,19.2,9.9,29,125.5,13.5,3,3,97,2.5,1,0,0,0.5,1,4.5,0,4.5,2,7,3,1,62.5,0,5.5,27.25,NA,NA,NA,NA
"1207",43063,2008,4,7.5,21,944.9,1004.9,33.2,20.7,13.25,33,153,29.5,3,5.5,97,4,2,0,0,1,3.5,4.5,0,9,5.5,7,3,4.5,48,0,4.6,29.6,NA,NA,NA,NA
"1208",43063,2008,4,7.5,22,945.4,1005.35,33.55,20.05,11.3,28.5,135.5,14.5,3,3.5,97,4,1,1.5,0.5,0.5,0.5,4.5,4.5,4.5,2.5,7,3,0.5,62.5,0,5.35,28.45,NA,NA,NA,NA
"1209",43063,2008,4,7.5,23,946.2,1006.25,33.5,20.2,11.5,29.5,139,13.5,3,5,97,5,1.5,3,1,1,1.5,9,9,9,4,5,6,1.5,26,0,5.2,29.05,NA,NA,NA,NA
"1210",43063,2008,4,7.5,24,945.1,1004.95,34.15,20.4,11.75,27.5,139,19,4,5,97,2.5,0.5,1.5,1,0.5,1.5,4.5,4.5,4.5,3,7,3,2,48,0,5.35,28.85,NA,NA,NA,NA
"1211",43063,2008,4,7.5,25,945.45,1005.9,31.1,23.5,20,53.5,234,27,6,7.5,97,2.5,1.5,1.5,1,1,2.5,4.5,4.5,9,5,7,3,3.5,48,0,5,28.9,NA,NA,NA,NA
"1212",43063,2008,4,7.5,26,945.6,1005.9,31.8,23.7,20.1,50,235.5,26,5,7,97,2.5,0.5,0,0,1,5,4.5,0,9,5.5,7,3,3,48,0,4,29.1,NA,NA,NA,NA
"1213",43063,2008,4,7.5,27,943.2,1003.1,32.75,21.75,15.8,38,163,20.5,5,5.5,97,0,0,0,0,1,4.5,0,0,9,4.5,9,0,4.5,70,0,4.8,28.5,NA,NA,NA,NA
"1214",43063,2008,4,7.5,28,942.6,1002.65,31.8,20.3,13.5,33,155.5,25,8,9,97,0,0,0,0,0.5,1.5,0,0,4.5,1.5,9,0,1.5,84.5,0,5.45,27,NA,NA,NA,NA
"1215",43063,2008,4,7.5,29,943.1,1003.15,31.8,18.4,8.75,24,116.5,27,5,8.5,97,0,0,1.5,2,0,0,0,4.5,0,2,8,1.5,2,77.5,0,5.15,27.3,NA,NA,NA,NA
"1216",43063,2008,4,7.5,30,944.75,1005,31.8,20.6,14.1,34.5,162,28,4,9,97,2.5,0.5,0,0,1,1,4.5,0,9,1.5,7,3,1,48,0,6,27.6,NA,NA,NA,NA
"1217",43063,2008,5,7.5,1,945.15,1005.6,31.3,20.8,14.5,41,168.5,29,6,7,97,8.5,3,1.5,0.5,1,1.5,9,4.5,9,5,5,7.5,1,22,0,4.25,28.1,NA,NA,NA,NA
"1218",43063,2008,5,7.5,2,944.55,1004.9,30.75,17.2,5.7,20,92,30.5,9,10,97,2.5,1,1.5,1,0,0,0,2,2.5,3,5.5,13,0,51.5,11.8,NA,NA,NA,NA,NA,NA
"1219",43063,2008,5,7.5,3,944.7,1005.15,30.35,18.2,9.75,28,120.5,27,7,11,97,0,0,0,0,0.5,1,0,0,4.5,1,9,0,4.5,84.5,0,5.4,26.4,NA,NA,NA,NA
"1220",43063,2008,5,7.5,4,945.3,1005.75,30.65,19.2,11.65,33,138.5,28,8,10,97,2.5,0.5,0,0,1,1.5,4.5,0,9,2,7,3,1,48,0,6.05,27.2,NA,NA,NA,NA
"1221",43063,2008,5,7.5,5,946.65,1007.4,29.5,20.65,15.3,47,178.5,28,7,10,97,0,0,0,0,0,0,0,0,0,0,9,0,0,99,0,4.55,27.4,NA,NA,NA,NA
"1222",43063,2008,5,7.5,6,945.95,1006.7,29.25,20.9,16.15,49,186,28,8,10.5,97,0,0,0,0,0,0,0,0,0,0,9,0,0,99,0,5.25,28.4,NA,NA,NA,NA
"1223",43063,2008,5,7.5,7,945.45,1006.1,30.1,21.45,16.75,48.5,192.5,27,7,8,97,4,2,0,0,1,1.5,4.5,0,9,3.5,7,3,2,48,0,5.25,23.15,NA,NA,NA,NA
"1224",43063,2008,5,7.5,8,946.75,1007.4,29.95,21.1,16.1,45.5,184,28,5,9,97,4,1.5,0,0,0,0,4.5,0,0,1.5,7,3,0.5,62.5,0,4.6,28.65,NA,NA,NA,NA
"1225",43063,2008,5,7.5,9,947.4,1008.25,29.65,21.55,16.4,45,188.5,28,7,9.5,97,4,1,0,0,0,0,4.5,0,0,1,7,3,0.5,62.5,0,3.85,28.65,NA,NA,NA,NA
"1226",43063,2008,5,7.5,10,947.05,1007.9,29.85,23,19.85,56,231.5,29.5,5,9,97,4,1,0,0,0,0,4.5,0,0,1,7,3,0.5,62.5,0,4.25,28.4,NA,NA,NA,NA
"1227",43063,2008,5,7.5,11,946.65,1007.55,29.5,21.9,17.95,52,206.5,27,5,8.5,97,4,1,0,0,0,4.5,0,0,1,2.5,7.5,0.5,1,79.5,0,5.2,28.7,NA,NA,NA,NA
"1228",43063,2008,5,7.5,12,946.65,1007.85,29.2,21.7,17.85,52,204,27,7,12,97,4,0.5,0,0,0,0,4.5,0,0,0.5,7,4,0.5,63.5,0,5.25,27.5,NA,NA,NA,NA
"1229",43063,2008,5,7.5,13,947.15,1008,29.65,21.9,17.05,48.5,200.5,28,9,9,97,2.5,1.5,0,0,0,0,4.5,0,0,1.5,7,3,1.5,62.5,0,5.3,27.7,NA,NA,NA,NA
"1230",43063,2008,5,7.5,14,947.55,1008.5,29.5,22.6,19.3,55.5,224,28,9,11,97,2.5,0.5,0,0,0.5,0.5,4.5,0,4.5,1,7,3,0.5,62.5,0,4.7,27.8,NA,NA,NA,NA
"1231",43063,2008,5,7.5,15,947.65,1008.4,29.7,21.9,17.9,51.5,205.5,28,7,11,97,2.5,1,0,0,0.5,0.5,4.5,0,4.5,1.5,7,3,1.5,48,0,4.6,27.85,NA,NA,NA,NA
"1232",43063,2008,5,7.5,16,947.95,1008.8,30,21.9,17.65,50.5,202.5,28,7,11.5,97,7,1.5,0,0,1,1.5,9,0,9,3,5,6,1,26,0,4.4,28.4,NA,NA,NA,NA
"1233",43063,2008,5,7.5,17,947,1007.8,29.9,22.5,18.85,53,218,28,16,14,97,6.5,2.5,0,0,0.5,0.5,9,0,4.5,3,5,6,2,26,0,5.55,28.1,NA,NA,NA,NA
"1234",43063,2008,5,7.5,18,945.15,1005.7,30,22.25,18.25,51.5,205,27,12,14,97,6.5,4,0,0,0,0,9,0,0,4,5,6,2.5,26,0,5.6,28.45,NA,NA,NA,NA
"1235",43063,2008,5,7.5,19,945.05,1005.4,31.2,23.4,19.7,52,230,27,10,11.5,97,8,2,0,0,0,0,9,0,0,3.5,5,6,2.5,26,0,4.7,29.3,NA,NA,NA,NA
"1236",43063,2008,5,7.5,20,945.6,1006.05,31.3,23.25,19.4,51,226,26,7,12,97,8,3.5,0,0,0.5,0.5,9,0,4.5,4,5,6,2,26,0,5.35,32.2,NA,NA,NA,NA
"1237",43063,2008,5,7.5,21,945.3,1005.85,30.7,22.5,18.4,49,212,27,10,12,97,8,3,0,0,0,0,9,0,0,3,5,6,1.5,26,0,5.05,29.1,NA,NA,NA,NA
"1238",43063,2008,5,7.5,22,944.45,1005.4,28.2,22.2,19.25,59,224,25,10,7,97,8.5,4.5,0,0,0.5,0.5,9,0,4.5,5,5,6,2.5,26,0,4.3,28.45,NA,NA,NA,NA
"1239",43063,2008,5,7.5,23,944.65,1005.35,28.8,22.75,19.85,59,231.5,25,6,7,97,4.5,2.5,0,0,1,1.5,4.5,0,9,4,7,3,2,48,0,3.85,29.1,NA,NA,NA,NA
"1240",43063,2008,5,7.5,24,944.4,1005.1,31.5,23.3,19.3,52,225.5,28,9,9,97,8,3,0,0,1,2,9,0,9,5,5,6,2,26,0,4.1,30.3,NA,NA,NA,NA
"1241",43063,2008,5,7.5,25,944.15,1004.45,31,22.95,19.15,52,222,27,5,9,97,6.5,2,0,0,1,2,9,0,9,4,5,6,1,26,0,5,29.6,NA,NA,NA,NA
"1242",43063,2008,5,7.5,26,945.15,1005.35,31.75,23,18.7,49,217,28,9,11,97,6.5,1.5,0,0,1,2.5,9,0,9,4,5,6,1,26,0,5.2,29.6,NA,NA,NA,NA
"1243",43063,2008,5,7.5,27,945.9,1006.25,31.6,23.7,20.05,51.5,235,29,10,10.5,97,4,1,0,0,1,2,4.5,0,9,3.5,7,3,2,48,0,4,29.5,NA,NA,NA,NA
"1244",43063,2008,5,7.5,28,944,1004.1,31.65,22.85,18.5,48,214,28,6,9.5,97,4,1,0,0,1,1.5,4.5,0,9,3,7,3,2,48,0,5.05,29.15,NA,NA,NA,NA
"1245",43063,2008,5,7.5,29,944.15,1004.35,31.5,22.9,18.55,49.5,215.5,29,5,9.5,97,8,3,0,0,1,2,9,0,9,5,5,6,2,26,0,4.35,29.4,NA,NA,NA,NA
"1246",43063,2008,5,7.5,30,945.15,1005.6,30.85,23.05,19.35,52,224.5,29,11,11,97,8,3,0,0,1,1.5,9,0,9,4.5,5,6,2,26,0,5.3,34.5,NA,NA,NA,NA
"1247",43063,2008,5,7.5,31,944.45,1004.85,30.55,23.1,19.55,53.5,227.5,28,16,12.5,97,6.5,3.5,0,0,1,1,9,0,9,4.5,5,6,3,26,0,5.5,28.9,NA,NA,NA,NA
"1248",43063,2008,6,7.5,1,944,1004.2,31.4,22.8,18.4,49,214,27,11,11,97,8,2,0,0,1,1,9,0,9,3,5,6,1,26,0,4.75,29.25,NA,NA,NA,NA
"1249",43063,2008,6,7.5,2,943.65,1003.85,31.6,22.9,18.6,48.5,215,27,4,8,97,8,3.5,1.5,1,1,1.5,9,4.5,9,6,5,6,2.5,26,0,4.3,29.7,NA,NA,NA,NA
"1250",43063,2008,6,7.5,3,944.4,1006.1,24.5,21.35,19.85,77.5,231.5,27,10,7,96.5,4.5,3,1.5,1,1,1.5,4.5,4.5,9,6,6,4.5,2.5,40,10.3,3.35,25.45,NA,NA,NA,NA
"1251",43063,2008,6,7.5,4,945.75,1007.35,25.4,22.7,21.45,79.5,256,0,0,3.5,96.5,7,3.5,0,0,1,2,9,0,9,5.5,5,6.5,2,26,6,4.35,29.4,NA,NA,NA,NA
"1252",43063,2008,6,7.5,5,944.45,1005.35,28.2,22.6,19.95,61,233,13.5,11,7,97,8,2.5,0,0,1,2,9,0,9,5,5,6,2,26,0.1,2.55,28.2,NA,NA,NA,NA
"1253",43063,2008,6,7.5,6,943.05,1004.2,26.25,22.95,21.45,75.5,255.5,26,6,9,97,7,4,1.5,0.5,1,1,6,4.5,9,7,5,7,2.5,22,0,2.05,26.3,NA,NA,NA,NA
"1254",43063,2008,6,7.5,7,942.6,1004.1,25.15,22.3,21,77.5,248.5,27,8,8,97,7,6,1.5,0.5,0.5,0.5,6,4.5,4.5,7,5,7,2.5,22,0.6,2.6,25.6,NA,NA,NA,NA
"1255",43063,2008,6,7.5,8,940.95,1002.4,24.5,22.65,21.85,85,261.5,13.5,4,6.5,97,7,7,0,0,0,0,7.5,0,0,7,5,7,3.5,22,3.2,1.3,25.2,NA,NA,NA,NA
"1256",43063,2008,6,7.5,9,941.7,1003.4,24,22.5,21.85,88,262,27,5,7.5,97,7,5,1.5,0.5,0.5,0.5,6,4.5,4.5,7,5,7,2.5,22,2.5,1.1,24.5,NA,NA,NA,NA
"1257",43063,2008,6,7.5,10,942.7,1004.3,24.95,22.55,21.45,81,256,28,2,10,97,7,6.5,1.5,0.5,0,0,7.5,4.5,0,7,5,7,4,22,1.5,2.6,25.6,NA,NA,NA,NA
"1258",43063,2008,6,7.5,11,942.7,1004.1,25.75,23,21.75,79.5,260,26,9,7.5,97,7,6,3,1,0,0,6,9,0,7,5,7,3,22,0.9,1.65,25.3,NA,NA,NA,NA
"1259",43063,2008,6,7.5,12,942.7,1004.2,25.2,22.9,21.9,82,262.5,13.5,5,6,97,7,5.5,4.5,6,2.5,3.5,4.5,15.5,0,4.4,16.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1260",43063,2008,6,7.5,13,942.2,1003.65,25.4,21.3,19.2,69,223,27,7,11.5,97,7,5,3,1.5,0.5,0.5,6,9,4.5,7,5,7,2,22,0.2,1.6,24.7,NA,NA,NA,NA
"1261",43063,2008,6,7.5,14,940.5,1002.05,23.9,21.8,20.75,83,245,26,5,15.5,97,7,6.5,1.5,0.5,0,0,6,4.5,0,7,5,7,2.5,22,1.25,2.45,24.7,NA,NA,NA,NA
"1262",43063,2008,6,7.5,15,940.6,1001.7,26.05,22.05,20.15,70.5,236.5,26,11,14.5,97,7,5,3,2,0,0,6,9,0,7,5,7,2.5,22,5.55,2.35,25.6,NA,NA,NA,NA
"1263",43063,2008,6,7.5,16,940.6,1001.45,27,22.35,20.1,66,235,27,18,16,97,7,3,3,2,0.5,0.5,7.5,7.5,4.5,7,5,7,1.5,22,0,3.2,25.8,NA,NA,NA,NA
"1264",43063,2008,6,7.5,17,941.05,1001.75,28,22.5,19.85,62,232,27,8,14,97,7,3,1.5,1,5,3,6,4.5,9,7,5,7,1.5,22,0,2.55,26.2,NA,NA,NA,NA
"1265",43063,2008,6,7.5,18,941.45,1002.35,27.35,24.15,22.8,76,277.5,27,11,17,97,7,6,0,0,0.5,1,6,0,4.5,7,5,7,2.5,22,0,2.75,26.2,NA,NA,NA,NA
"1266",43063,2008,6,7.5,19,942.85,1003.9,27.25,23.05,21.1,70,251,27,10,15.5,97,7,3,1.5,1,4.5,2.5,6,4.5,9,6.5,5,7,1.5,22,0,2.85,25.8,NA,NA,NA,NA
"1267",43063,2008,6,7.5,20,944.35,1005.45,27.15,23.15,21.35,71,254,27,10,10,97,6,3,0,0,4.5,4,7.5,0,9,7,5,6.5,1.5,24,0,2.4,26.7,NA,NA,NA,NA
"1268",43063,2008,6,7.5,21,944.7,1006,26.8,22.45,20.35,68.5,239,26,8,11.5,97,3.5,0.5,1.5,3.5,4,3,3,0,9,7,6,5,4,39,0,2.7,26.7,NA,NA,NA,NA
