Modal Price beetroot,Price Date
1600,2016/07/24
1300,2016/07/25
2000,2016/07/25
1200,2016/07/26
1300,2016/07/27
2200,2016/07/27
1300,2016/07/28
1300,2016/07/29
1600,2016/07/29
1600,2016/07/30
1300,2016/07/31
1200,2016/08/01
1600,2016/08/01
1200,2016/08/02
1000,2016/08/03
1000,2016/08/04
1000,2016/08/05
1800,2016/08/05
1800,2016/08/06
1000,2016/08/07
1600,2016/08/07
1000,2016/08/08
1300,2016/08/08
1000,2016/08/09
1000,2016/08/09
1000,2016/08/10
1400,2016/08/10
1000,2016/08/11
800,2016/08/12
1200,2016/08/12
1000,2016/08/14
800,2016/08/16
1000,2016/08/17
1800,2016/08/17
1300,2016/08/18
800,2016/08/19
1530,2016/08/20
800,2016/08/21
600,2016/08/22
1000,2016/08/23
800,2016/08/24
1560,2016/08/24
700,2016/08/25
600,2016/08/26
1600,2016/08/26
1000,2016/08/28
800,2016/08/29
1400,2016/08/29
800,2016/08/30
1200,2016/08/30
600,2016/08/31
1030,2016/08/31
500,2016/09/01
700,2016/09/02
500,2016/09/04
500,2016/09/05
1130,2016/09/05
500,2016/09/06
700,2016/09/07
1330,2016/09/07
500,2016/09/08
1500,2016/09/09
1560,2016/09/10
500,2016/09/11
2000,2016/09/11
800,2016/09/12
1560,2016/09/12
600,2016/09/13
1500,2016/09/13
600,2016/09/14
1400,2016/09/14
600,2016/09/15
1500,2016/09/15
1570,2016/09/17
500,2016/09/18
700,2016/09/19
1400,2016/09/19
600,2016/09/20
600,2016/09/22
3000,2016/09/22
600,2016/09/23
1460,2016/09/23
3000,2016/09/24
1200,2016/09/25
600,2016/09/26
1200,2016/09/26
700,2016/09/27
1200,2016/09/27
600,2016/09/28
3000,2016/09/28
1200,2016/09/28
800,2016/09/29
1200,2016/09/29
800,2016/09/30
3000,2016/09/30
770,2016/09/30
1400,2016/10/01
800,2016/10/02
800,2016/10/03
800,2016/10/04
600,2016/10/05
1000,2016/10/06
1000,2016/10/07
1300,2016/10/07
1000,2016/10/08
1000,2016/10/09
700,2016/10/10
1200,2016/10/10
800,2016/10/11
2000,2016/10/12
600,2016/10/13
800,2016/10/14
1000,2016/10/16
1600,2016/10/16
600,2016/10/17
750,2016/10/18
900,2016/10/19
2000,2016/10/19
800,2016/10/20
1600,2016/10/20
600,2016/10/21
1730,2016/10/21
600,2016/10/23
700,2016/10/24
600,2016/10/25
600,2016/10/26
600,2016/10/26
600,2016/10/27
2000,2016/10/27
700,2016/10/28
2000,2016/10/28
700,2016/10/30
800,2016/10/31
800,2016/11/02
600,2016/11/03
1000,2016/11/04
1460,2016/11/05
1000,2016/11/06
1600,2016/11/06
1300,2016/11/07
1200,2016/11/07
1000,2016/11/08
700,2016/11/09
800,2016/11/10
800,2016/11/11
1730,2016/11/11
1330,2016/11/12
800,2016/11/13
1400,2016/11/13
800,2016/11/14
1600,2016/11/14
800,2016/11/15
800,2016/11/16
1560,2016/11/16
800,2016/11/17
800,2016/11/18
1400,2016/11/18
1400,2016/11/19
600,2016/11/20
1260,2016/11/20
800,2016/11/21
1360,2016/11/21
800,2016/11/22
800,2016/11/23
1330,2016/11/23
650,2016/11/24
800,2016/11/25
1400,2016/11/25
3000,2016/11/26
1200,2016/11/26
800,2016/11/27
1500,2016/11/27
800,2016/11/28
1560,2016/11/28
800,2016/11/29
1300,2016/11/29
800,2016/11/30
1330,2016/11/30
800,2016/12/01
700,2016/12/02
960,2016/12/02
1200,2016/12/03
800,2016/12/04
700,2016/12/05
1330,2016/12/05
800,2016/12/06
800,2016/12/07
930,2016/12/07
800,2016/12/08
1100,2016/12/08
800,2016/12/09
1200,2016/12/09
1200,2016/12/10
800,2016/12/11
900,2016/12/11
800,2016/12/12
1100,2016/12/12
1000,2016/12/13
3000,2016/12/13
600,2016/12/13
800,2016/12/14
1100,2016/12/14
800,2016/12/15
1300,2016/12/15
800,2016/12/16
900,2016/12/17
800,2016/12/18
900,2016/12/18
800,2016/12/19
850,2016/12/19
800,2016/12/20
600,2016/12/21
1000,2016/12/21
700,2016/12/22
600,2016/12/22
700,2016/12/23
750,2016/12/23
700,2016/12/24
700,2016/12/25
700,2016/12/25
700,2016/12/26
800,2016/12/26
600,2016/12/27
600,2016/12/27
700,2016/12/28
900,2016/12/28
600,2016/12/29
600,2016/12/29
600,2016/12/30
700,2016/12/30
600,2016/12/31
600,2017/01/01
600,2017/01/01
600,2017/01/02
800,2017/01/02
600,2017/01/03
600,2017/01/03
500,2017/01/04
450,2017/01/04
600,2017/01/05
600,2017/01/05
600,2017/01/06
600,2017/01/06
500,2017/01/08
700,2017/01/09
650,2017/01/09
700,2017/01/10
500,2017/01/10
600,2017/01/11
650,2017/01/11
600,2017/01/13
800,2017/01/14
600,2017/01/15
700,2017/01/16
600,2017/01/17
600,2017/01/18
800,2017/01/18
600,2017/01/19
700,2017/01/24
700,2017/01/25
800,2017/01/25
700,2017/01/27
500,2017/01/27
600,2017/01/29
400,2017/01/29
700,2017/01/30
400,2017/01/30
700,2017/01/31
500,2017/01/31
600,2017/02/01
750,2017/02/01
700,2017/02/02
600,2017/02/03
950,2017/02/04
500,2017/02/05
600,2017/02/05
500,2017/02/06
900,2017/02/06
600,2017/02/07
600,2017/02/08
1000,2017/02/08
600,2017/02/09
950,2017/02/09
600,2017/02/10
800,2017/02/11
600,2017/02/12
600,2017/02/13
1200,2017/02/13
600,2017/02/14
800,2017/02/14
600,2017/02/15
1200,2017/02/15
700,2017/02/16
600,2017/02/17
1000,2017/02/17
1200,2017/02/18
1200,2017/02/20
500,2017/02/23
1200,2017/02/23
600,2017/02/24
750,2017/02/27
800,2017/02/27
600,2017/02/28
600,2017/03/01
600,2017/03/02
800,2017/03/02
500,2017/03/03
1200,2017/03/03
1200,2017/03/04
700,2017/03/05
1200,2017/03/05
600,2017/03/06
1200,2017/03/06
600,2017/03/07
1200,2017/03/07
600,2017/03/08
1400,2017/03/08
700,2017/03/09
1000,2017/03/09
600,2017/03/10
1400,2017/03/10
1450,2017/03/11
500,2017/03/12
500,2017/03/14
1400,2017/03/14
900,2017/03/15
1600,2017/03/15
1000,2017/03/16
1400,2017/03/16
1000,2017/03/17
1600,2017/03/17
1900,2017/03/18
1000,2017/03/19
800,2017/03/20
1800,2017/03/20
1000,2017/03/21
1000,2017/03/22
1900,2017/03/22
1000,2017/03/23
1850,2017/03/23
1000,2017/03/24
1900,2017/03/24
1750,2017/03/25
1000,2017/03/26
1800,2017/03/26
1000,2017/03/27
1800,2017/03/27
1000,2017/03/28
1800,2017/03/28
1000,2017/03/29
1200,2017/03/29
800,2017/03/30
800,2017/03/31
1900,2017/03/31
1800,2017/04/01
800,2017/04/02
1500,2017/04/02
800,2017/04/03
1900,2017/04/03
800,2017/04/04
1600,2017/04/04
800,2017/04/05
1900,2017/04/05
800,2017/04/06
1500,2017/04/06
800,2017/04/07
1000,2017/04/07
1800,2017/04/08
800,2017/04/09
2000,2017/04/09
