Date,MAX,MIN,R.F,EVP,DR,SSH,RH,VP
2006-03-05,34,11.8,0,7.2,0,10.6,35,106
2006-03-06,32,10.9,0,6.8,0,10.3,31,83
2006-03-07,34,13.6,0,6.3,0,10.3,41,110
2006-03-08,32.3,12.5,0,7.1,0,10.2,37,108
2006-03-09,35.1,17.1,0,5.9,4,5,55,152.5
2006-03-10,31.5,17,4.1,4,0,8.7,61,156.5
2006-03-11,28.3,15.7,0,4.9,0,9.5,60.5,162
2006-03-12,28.1,14,0,5.8,0,9.4,54,151
2006-03-13,29.5,15,0,5.4,0,8.9,54,161
2006-03-14,31.4,16.4,0,5.9,0,7.9,55.5,172
2006-03-15,32.5,18.2,0,6,0,6.1,50,152.5
2006-03-16,30.8,17.9,0,5.5,0,8.5,49,156.5
2006-03-17,30.7,15.4,0,5.9,0,9.7,43,138
2006-03-18,32.2,16.3,0,5.5,0,9.2,43,150.5
2006-03-19,34.3,17.9,0,5.8,0,8.7,51,187.5
2006-03-20,35.6,20.3,0,6,0,9.2,43,177.5
2006-03-21,36,17.9,0,7.3,0,9.6,32,121.5
2006-03-22,36.7,17,0,7.1,0,9.7,40,140.5
2006-03-23,36.4,16.9,0,7.4,0,9.5,32,126.5
2006-03-24,36.8,18.2,0,2.4,0,9.7,34,130
2006-03-25,37.6,17.3,0,8,0,9.5,33,122
2006-03-26,37.6,17.1,0,7.6,0,9.9,32.5,127
2006-03-27,37,15.1,0,7.4,0,9.8,24.5,85
2006-03-28,35,16,0,6.6,0,9.6,37.5,126.5
2006-03-29,35.9,16.8,0,6.6,0,9.7,38.5,141
2006-03-30,37.5,17.8,0,7.2,0,9.3,35,133
2006-03-31,38,19.3,0,8.1,0,9.1,49.5,194
2006-04-01,38,18.5,0,7.9,0,9.1,34.5,136.5
2006-04-02,37.1,18.4,0,8.8,0,10.1,32,122.5
2006-04-03,35.6,16.6,0,10.2,0,10.4,26,101
2006-04-04,35.9,15.7,0,9.8,0,10.2,25.5,102.5
2006-04-05,37.1,17,0,8,0,10.1,30,121
2006-04-06,38.7,17.4,0,8.8,0,10.2,30,126.5
2006-04-07,39.3,21.9,0,8.7,0,10.3,36,148.5
2006-04-08,37.3,17.7,0,9.5,0,10.1,34.5,137.5
2006-04-09,37.4,18.5,0,8.5,0,10.3,31,136.5
2006-04-10,37.6,19.2,0,8.9,0,10.4,29,121.5
2006-04-11,38.3,19.3,0,8.9,0,10.1,31.5,141.5
2006-04-12,38.2,21.1,0,7.6,0,9.6,41.5,162
2006-04-13,37.2,18.8,0,8.3,0,10.1,40.5,154
2006-04-14,38.2,20,0,8.5,0,10,42,169
2006-04-15,38.6,20.9,0,7.9,0,9.6,31,133
2006-04-16,38.2,23.7,0,7.6,0,9.9,45.5,201
2006-04-17,32.5,19,0,9.1,0,11.1,38,142
2006-04-18,35.8,19.3,0,9.2,0,11,38,141
2006-04-19,35.3,20.6,0,8.5,0,10.8,28.5,123
2006-04-20,36,19.5,0,7.9,0,9.5,36.5,154.5
2006-04-21,37.2,23.3,0,9,9.3,0,42.5,181
2006-04-22,37.2,24.4,0,9.2,0,8.8,48.5,209
2006-04-23,38.1,22.1,0,9.2,0,10.2,40,165
2006-04-24,37.4,19.8,0,8.3,0,10.8,40,158.5
2006-04-25,37.5,20.4,0,0,0,0,46,179
2006-04-26,36,20.3,0,8.9,0,11,38,160
2006-04-27,36.2,18.6,0,8.7,0,10.9,26,117
2006-04-28,36.9,18.6,0,9.9,0,10.9,38,164.5
2006-04-29,37.2,19.9,0,9.1,0,10.8,43.5,167.5
2006-04-30,36.5,22.1,0,9.5,0,10.5,47.5,193
2006-05-01,36.7,23,0,8.8,0,10.5,46.5,194.5
2006-05-02,38.7,23.4,0,9.3,0,8.8,37,172.5
2006-05-03,40.1,25,0,8.4,0,9,43.5,197
2006-05-04,39.8,21.7,0,9.1,0,10.5,31.5,160
2006-05-05,40,25.2,0,9.5,0,9.6,42.5,206
2006-05-06,39.5,24.1,0,10.7,0,10.3,43,194.5
2006-05-07,40.4,23.7,0,10,0,9.7,43,191.5
2006-05-08,40.5,24.7,0,10,0,7.4,41.5,182
2006-05-09,38.3,24.3,0,9.5,0,9.5,35.5,167.5
2006-05-10,39.8,25,0,9.6,0,10.5,42.5,184
2006-05-11,38.1,23.8,0,9.5,0,10.9,28.5,134
2006-05-12,39.1,20.7,0,10.7,0,11.5,25,126.5
2006-05-13,39,20.5,0,11.6,0,10.9,25.5,117.5
2006-05-14,38.6,19.3,0,11.4,0,11.5,26,121
2006-05-15,37.9,22.9,0,0,0,0,49,213
2006-05-16,36.9,23.2,0,9.7,0,10.1,43.5,190.5
2006-05-17,36.9,22.9,0,10,0,10.3,46.5,206
2006-05-18,38.2,22.7,0,10.3,0,10,48.5,209
2006-05-19,37.3,23.8,0,10.3,0,9.6,47,188
2006-05-20,35.2,23.8,0,10.4,0,10.6,50,200.5
2006-05-21,34.2,23.7,0,10.4,0,10.6,50,199
2006-05-22,35.2,24.2,0,11.1,0,10.6,53.5,227
2006-05-23,35.5,24.3,0,9,0,10.3,54.5,230
2006-05-24,35.3,24.2,0,8.5,0,10,53,215
2006-05-25,34.9,24.6,0,8.9,0,10.1,57,237.5
2006-05-26,35.4,24.2,0,9.7,0,1,58.5,242
2006-05-27,35.3,25.5,0,8.1,1,5.1,68,257.5
2006-05-28,34.7,22.5,1.8,7.3,0,2,68,260
2006-05-29,31,23.9,0,7.2,0,2.3,61,255
2006-05-30,33.6,20.7,18.8,5.4,8,0.5,79.5,282
2006-05-31,31,22.8,44,4,4,0,92,291
2006-06-01,27,22.7,7.1,1.8,6,0,79,248
2006-06-02,26.2,22.6,5.3,1.7,1,1.9,83.5,233.5
2006-06-03,28.5,22.2,5.5,3.9,0,2.8,74.5,255.5
2006-06-04,29.2,22.9,0.2,4.3,0,2.3,70.5,240.5
2006-06-05,30.4,23,0,4.5,0,6.7,72,255.5
2006-06-06,30.7,22.6,0,6.5,0,8.8,65,240
2006-06-07,32.4,22.8,0,7.7,0,8.1,63,231.5
2006-06-08,32.3,22.8,0,7.2,0,9.8,65.5,238
2006-06-09,32.4,23.3,0,6.6,0,10,64.5,249.5
2006-06-10,32.7,23.5,0,7.4,0,11,58,228
2006-06-11,32.9,23,0,8.3,0,11.4,62,240.5
2006-06-12,33.1,22.5,0,7.9,0,0,60,229
2006-06-13,33.5,22.6,0,8.6,0,9.2,59,232
2006-06-14,33.2,23.1,0,7.5,2,7.1,76.5,249.5
2006-06-15,33,22.7,9,5.1,0,8.9,66,259.5
2006-06-16,32.8,23.9,6.1,5.6,0,7.8,82.5,269
2006-06-17,34.3,23.5,6.1,6.3,0,7.8,74.5,264
2006-06-18,34.1,24.8,0,5.8,3,10.2,68.5,271.5
2006-06-19,34.7,21.1,15.6,6.8,0,4.2,81.5,264
2006-06-20,31.1,23.5,0,3.2,0,6.7,71.5,260.5
2006-06-21,33,23.2,2,4.7,0,8.3,69,258
2006-06-22,34.1,23.8,0,5.1,5,7.1,72.5,252.5
2006-06-23,33.9,21.8,31.8,5.7,1,0.5,80,272.5
2006-06-24,30.1,22.2,27.6,2.2,2,3.2,85,281
2006-06-25,30.2,23.8,0,3.1,0,6.2,77,274
2006-06-26,31.5,23.6,1.3,3.2,0,1.5,88,283.5
2006-06-27,28.6,23.8,2.1,2.9,0,0.3,85.5,277.5
2006-06-28,28.4,23.2,2.8,2.8,0,3.3,88,253
2006-06-29,29.1,23.6,1.1,4,2,0,85.5,281
2006-06-30,28.1,22.6,26.6,2.7,2,0.3,88,273.5
2006-07-01,27.5,22.6,27.6,3.4,14,0,95.5,285
2006-07-02,25.3,23.1,42.1,1.6,12,0,91.5,289
2006-07-03,25.8,22.2,60.9,2.9,14,0,95,268.5
2006-07-04,25.1,22.8,15,2,9,0,95,279.5
2006-07-05,25.1,22.8,15,2.4,18,0,95,279.5
2006-07-06,23.6,21,31.6,2.3,14,2.5,94,265
2006-07-07,27.2,22.7,6.5,2.6,0,5.8,70.5,251
2006-07-08,28.5,23,2.7,3.5,5,4.2,90.5,271.5
2006-07-09,28.5,23.2,5.7,4.2,1,5.5,86,254
2006-07-10,28.4,22.4,4.2,4.3,0,4.7,78.5,248.5
2006-07-11,28.1,22.7,5.2,3.7,1,1.7,83.5,259.5
2006-07-12,26.9,22.7,1.9,2.7,0,0.9,84,259
2006-07-13,27.9,22.7,1.6,3.1,0,1.8,88.5,274
2006-07-14,27.7,22.7,0.7,2.2,0,1.2,83.5,255.5
2006-07-15,27.5,23,0.2,2.8,0,1,78,255
2006-07-16,27,22.7,1,3.9,0,8.8,76,254
2006-07-17,29.3,21.8,0,4.5,0,4.4,81,259.5
2006-07-18,28.9,22.6,1.7,3.6,0,0,85.5,262.5
2006-07-19,27.4,22.1,2.1,2.2,0,5.6,80.5,262
2006-07-20,28.5,21.5,2,3.8,0,3,82.5,262
2006-07-21,28.2,22.1,4.9,2.5,2,0,85.5,260.5
2006-07-22,27.1,22.1,9.8,1.9,8,0,92.5,266.5
2006-07-23,24.3,21.9,23.6,1.1,6,0,94.5,265
2006-07-24,25,21.8,7.5,1.1,2,4.5,88.5,266
2006-07-25,28.5,22,1.6,3.9,0,7.7,78.5,255.5
2006-07-26,29,22.4,0.5,23.9,0,2.3,79.5,252
2006-07-27,27.9,22,4.9,3,5,0,91.5,256.5
2006-07-28,26.1,21.6,28.7,1.8,9,0,93,257
2006-07-29,24.4,21.2,62,1.6,14,0,97,266
2006-07-30,25,22.2,26.1,1.5,3,0.9,89,265
2006-07-31,27.1,21.7,7.6,2.9,5,0.6,88.5,257
2006-08-01,25.6,21.5,7.9,1.9,6,1.3,91.5,252
2006-08-02,26.9,21.3,29.5,3.6,0,3.8,81.5,245.5
2006-08-03,26.8,22.1,1.8,2.4,0,0.7,87,255.5
2006-08-04,26.9,22.3,0.6,2.6,0,0.1,84.5,246.5
2006-08-05,26.2,21.8,5.4,2.1,2,0,92.5,252.5
2006-08-06,24.3,21.6,28.3,1.9,22,0,96.5,258
2006-08-07,22.6,21.4,72,1.5,18,0,96,254.5
2006-08-08,22.8,21.6,51.6,3.2,15,0,95,268
2006-08-09,24.8,21.7,57.6,2.3,15,1,93.5,259.5
2006-08-10,26.3,21.7,14,3.5,7,0,91.5,256.5
2006-08-11,25.6,22.4,17.1,1.6,2,1.8,92.5,269
2006-08-12,26.6,22.4,2.5,1.2,0,1,89,259.5
2006-08-13,26.7,22.2,4.4,3.1,2,2.7,84.5,263.5
2006-08-14,27,22.3,16.4,2.6,6,1.2,92,273
2006-08-15,26.8,22.1,7.4,2.5,3,2.5,92,267.5
2006-08-16,26.9,22.3,2,2.6,8,0,91.5,259.5
2006-08-17,24.1,22.1,31.7,1.3,10,0.8,95.5,270
2006-08-18,26.1,21.7,5.2,1.5,0,2.8,82,255.5
2006-08-19,27.2,21.5,0,2.9,0,3.1,92.5,270
2006-08-20,28.2,22.1,2.4,3,0,7.8,83,267.5
2006-08-21,28.3,22.2,0.5,3.9,0,5.1,88,271
2006-08-22,28,22,0.8,3.7,0,3.3,87,262.5
2006-08-23,26.6,21.6,1,3,2,3,93,262
2006-08-24,26.9,21.3,2.9,2.6,0,4.2,83.5,248.5
2006-08-25,27.9,20.7,1.4,3.3,1,3.1,86,243.5
2006-08-26,27.9,19.9,4.4,3.1,0,5.3,81.5,244
2006-08-27,27.5,21.1,0.5,3.3,0,5.3,78.5,237.5
2006-08-28,27.1,21.6,3.1,3.4,0,2.8,85,250
2006-08-29,27.5,21.5,0.2,3.6,0,5.3,81.5,246.5
2006-08-30,27.4,21.2,5.1,1.6,1,2.1,83,241
2006-08-31,27.3,21.3,0.3,4.2,0,7.2,74,234
2006-09-01,28.7,21.1,0.7,3.3,3,1.3,89.5,256
2006-09-02,27.4,21.1,8,2.2,0,5.8,84.5,253.5
2006-09-03,28.6,20.7,0,4.2,0,8.3,76.5,246.5
2006-09-04,29,20.6,0,4.2,0,7.8,81,257
2006-09-05,31,22.4,2.8,4.5,0,6.1,78.5,254
2006-09-06,29.9,22.4,0,4.4,0,4.7,82.5,266.5
2006-09-07,29.7,20.3,0,4.3,0,9.4,73,253
2006-09-08,31.1,21.6,0,4,0,6.9,74.5,256.5
2006-09-09,31.4,21,61.4,2.6,5,8.4,79,271
2006-09-10,31.8,21.7,1.8,2.9,0,6.9,79.5,277.5
2006-09-11,32.7,21.8,4.1,3.9,0,7.6,78.5,274.5
2006-09-12,31.6,22.7,0.2,4,0,5.4,83.5,281.5
2006-09-13,31.6,22.6,0.3,3.2,1,4.6,82.5,265
2006-09-14,31.2,23.5,2.9,2.4,3,2.7,95,286
2006-09-15,29.4,21.5,11.3,2.5,6,3.1,91.5,265
2006-09-16,29.9,22.2,12.4,3.7,5,1.2,86,270.5
2006-09-17,28,21.7,39,2.6,4,0.6,94,269.5
2006-09-18,27.2,22,4.6,2,0,1.1,91,270.5
2006-09-19,27.3,21.3,1.7,1.7,0,6.1,73,243.5
2006-09-20,29.3,21.3,0,3,0,0.4,90,267.5
2006-09-21,29,21.9,3.2,2.3,0,1.9,79.5,253
2006-09-22,28,22.1,0,2.7,0,1.6,86,269
2006-09-23,27.9,20.6,0.3,1.8,0,7.1,78.5,253.5
2006-09-24,30.1,20.5,0,3.5,0,9.5,74,254
2006-09-25,30.5,20.7,0,4.4,0,8.5,74,247
2006-09-26,30.8,21.2,0,4.4,0,8.1,77.5,248
2006-09-27,31.1,21.3,0,4.2,0,3.1,81,258
2006-09-28,27.9,21,0,3.4,0,7.4,73.5,244
2006-09-29,31.1,21,0,3.4,0,7.3,87,262.5
2006-09-30,31.7,22,16,3.8,0,5.4,80.5,270
2006-10-01,30.6,23.1,1.5,3.1,3,0.2,95,269
2006-10-02,26.1,21.6,9,1.5,0,6.8,84,270.5
2006-10-03,30.7,23.1,0,3,0,2.4,78.5,262.5
2006-10-04,31.2,22.7,0,2.9,0,3.3,91,289
2006-10-05,31.7,22.2,22.3,2.2,2,4.5,93,280.5
2006-10-06,31.1,22.3,1.6,2.2,0,3.7,87,275
2006-10-07,30.9,21.4,2.2,2.2,0,3.6,75.5,251
2006-10-08,29.9,22,0,3,1,4.2,82,262.5
2006-10-09,30.4,22,6.7,1.7,0,6.2,82.5,276
2006-10-10,31.2,21.4,0,4,0,6.9,75,246.5
2006-10-11,32,22.2,4.1,2.2,7.5,0,73.5,255
2006-10-12,32.3,22.6,0,4.9,0,7.5,67,244.5
2006-10-13,32.6,19.6,0,3.9,0,9.1,65,232.5
2006-10-14,32,19.6,0,3.9,0,8.9,62,216
2006-10-15,31.7,19.1,0,4.3,0,9.1,63,217.5
2006-10-16,31.7,18.1,0,4.4,0,9.9,58.5,205.5
2006-10-17,32.3,18.7,0,4.8,0,10,58,202.5
2006-10-18,32.5,18.9,0,4.8,0,9.5,61.5,219.5
2006-10-19,32.6,18.2,0,5.2,0,9.2,67,219
2006-10-20,32.6,18.2,0,5.1,0,9.4,67,219
2006-10-21,32.5,20.5,0,4.3,0,8.1,62.5,214
2006-10-22,32.5,19.1,0,4.6,0,8.1,68,226
2006-10-23,32.2,19.1,0,3.1,0,9.2,66,233
2006-10-24,32.1,18,3.4,4.3,0,8.8,71,226.5
2006-10-25,31.6,16.7,0.1,5,0,7.3,67.5,213.5
2006-10-26,31.2,16,0,5.2,0,9.7,56,181.5
2006-10-27,31.2,15.1,0,3.9,0,10.1,53,167
2006-10-28,30.7,15.4,0,4,0,7.9,56,176
2006-10-29,30.8,17.7,0,4.7,0,8.8,61.5,207.5
2006-10-30,30.1,18.3,0,3.8,0,3.8,59,208
2006-10-31,31.3,18.4,0,4.4,0,8.5,64.5,212.5
2006-11-01,31.6,18.4,0,4.2,0,9.5,59.5,206
2006-11-02,31.7,19.9,10.3,3.9,8.4,0,71,221.5
2006-11-03,30.4,17.2,0,4.2,0,7.7,75,219
2006-11-04,28.4,19.1,0,3.1,0,9.8,71,225.5
2006-11-05,29.6,19.3,0,3.4,0,5.3,70.5,216.5
2006-11-06,29.2,17.9,0,2.4,0,8.6,66.5,211
2006-11-07,30.9,17.7,13.4,3.4,8.2,1,77,239.5
2006-11-08,29.9,17.4,0.2,3.1,0,9.3,66.5,193
2006-11-09,29.5,15.3,0,4.1,0,8.2,64,183
2006-11-10,29.1,14.1,0,3.5,0,9,58.5,167.5
2006-11-11,29.1,13.7,0,4.4,0,9.6,59,163.5
2006-11-12,29.1,13.4,0,3.6,8.8,0,66,178.5
2006-11-13,28.8,12.6,0,3.2,0,9.2,62,166
2006-11-14,29.1,13.4,0,4.9,0,9.6,59,171
2006-11-15,29.2,14.7,0,3.7,0,9.1,60,177.5
2006-11-16,29.5,14.6,0,4.2,0,9,58,173.5
2006-11-17,30.1,14.1,0,4.2,0,8.8,62.5,185
2006-11-18,29.7,14.1,0,3.4,0,8.6,57,173.5
2006-11-19,31.2,14.2,0,3.6,0,6,74,193
2006-11-20,29.4,14.7,0,2.7,0,8.4,68.5,198
2006-11-21,30.1,16.3,0,3.5,0,5.6,67.5,206.5
2006-11-22,30.3,19.5,0,3.5,0,0,77.5,240
2006-11-23,30.3,20.2,0,1.9,0,0.6,85,241
2006-11-24,29.3,21.4,4.8,1.8,5,6,78.5,242.5
2006-11-25,30.5,20.4,12.3,2.3,0,4,86,263
2006-11-26,29.7,20.3,0,1.8,0,7.1,74,239
2006-11-27,31.2,17.7,0,2.7,0,7.7,76.5,231.5
2006-11-28,31.3,18.8,0,2.6,0,6.9,78,242
2006-11-29,30.7,20.1,2.5,2.4,0,8.7,75.5,234.5
2006-11-30,29.9,20.2,0,2.4,0,8.7,70,227
2006-12-01,31.5,18.7,0,3,0,8.6,68.5,210.5
2006-12-02,30.8,14.6,0,2.8,0,9.2,58,159
2006-12-03,31.4,13.5,0,3.6,0,9.2,61.5,172.5
2006-12-04,31,13.6,0,3.6,0,3.6,66,186.5
2006-12-05,30.8,14.6,0,3.4,0,8.2,68,185
2006-12-06,30,15.9,0,2.3,0,9,64.5,179.5
2006-12-07,29.9,13.7,0,3.5,0,8.6,67.5,168
2006-12-08,29.5,12.1,0,3.5,0,8.7,62.5,151
2006-12-09,29.2,11.9,0,4.1,0,9.1,61,149
2006-12-10,28.9,10.7,0,3.5,0,9.1,66,156.5
2006-12-11,28.7,11.8,0,3,0,9.2,62,162.5
2006-12-12,30.8,12.3,0,3.2,0,8.7,68,176
2006-12-13,29.7,13.7,0,2.7,0,9,62.5,169
2006-12-14,31,15,0,3.8,0,9,68.5,182.5
2006-12-15,29.7,12.8,0,3.1,0,9.3,61.5,150.5
2006-12-16,30,11.6,0,3.7,0,8.2,67.5,148
2006-12-17,29.1,10.7,0,4,0,9.6,48,108
2006-12-18,29.4,9.1,0,5,0,9.4,52.5,155
2006-12-19,30.1,9.9,0,1,0,9.4,51.5,117
2006-12-20,30.3,9.9,0,3.5,0,9.3,57,124.5
2006-12-21,29.1,9.6,0,4,0,8.6,61.5,132.5
2006-12-22,27.3,11.3,0,3.1,0,8.7,67.5,153.5
2006-12-23,28.1,12.3,0,3.6,0,8.4,70,157.5
2006-12-24,27.5,12.4,0,3.7,0,8.8,67.5,152
2006-12-25,28.4,12,0,3.2,0,8.6,62,152.5
2006-12-26,28.8,12.3,0,3.1,0,8.6,67.5,174
2006-12-27,30,13.4,0,2.8,0,8.1,62,156
2006-12-28,30.1,12.7,0,2.8,0,8.5,63.5,157.5
2006-12-29,31,12.1,0,2.7,0,8.4,61,152
2006-12-30,31.1,11.9,0,3.1,0,8.8,58.5,140
2006-12-31,30.1,11.9,0,3.2,0,8.5,63,147.5
2007-01-01,30,17.4,0,2.9,0,8.7,61,131
2007-01-02,29.3,10.8,0,3.2,0,8.7,64.5,135.5
2007-01-03,29,10.7,0,3.1,0,8.7,65,138
2007-01-04,29.5,11.2,0,3.4,0,8.6,60.5,140
2007-01-05,30.1,11.9,0,2.6,0,8.2,63.5,145
2007-01-06,29.6,12.1,0,3.1,0,8.6,62,135.5
2007-01-07,29.4,11.1,0,2.9,0,8.7,64,137.5
2007-01-08,28.8,12,0,4.3,0,8.2,65,147.5
2007-01-09,28.3,11.9,0,3.8,0,8.9,66,144.5
2007-01-10,29,11.6,0,3.6,0,8.8,59.5,139
2007-01-11,29.1,12.1,0,3.7,0,7.9,66,147
2007-01-12,29.6,12.1,0,2.4,0,8.5,62,144.5
2007-01-13,30.9,12.3,0,2.8,0,8.1,67.5,157.5
2007-01-14,30.9,12.2,0,2.9,0,9,59,151.5
2007-01-15,31.1,12.3,0,2.6,0,8.9,62.5,147.5
2007-01-16,32.1,12.7,0,3.6,0,9.3,60.5,135.5
2007-01-17,31.4,10.4,0,3.7,0,9.2,58.5,124
2007-01-18,30.1,10.9,0,4.2,0,9.1,62,76.5
2007-01-19,29.6,12.2,0,3.3,0,9,60,141
2007-01-20,31.3,12.5,0,3.3,0,9.1,52.5,135.5
2007-01-21,32.7,12.2,0,3.4,0,9.1,59,143
2007-01-22,32.1,12.7,0,4,0,9.6,57,130
2007-01-23,33.1,11.2,0,4.5,0,9.6,48.5,112
2007-01-24,33.1,12.1,0,3.7,0,8.7,54,130
2007-01-25,32,14,0,4.4,0,8.5,61,161.5
2007-01-26,30.9,13.7,0,3.5,0,9.2,59.5,149
2007-01-27,31.8,13.7,0,3.7,0,9.2,56,142
2007-01-28,31.1,14.3,0,4.3,0,8.9,59.5,159
2007-01-29,32,16.4,0,5.4,0,2.4,52.5,160.5
2007-01-30,28.7,17.5,0,2.8,0,8.7,50,154
2007-01-31,32,16.2,0,4.9,0,9.1,59,166
2007-02-01,32.1,15.7,0,4.9,0,9.1,56,155
2007-02-02,32.1,13.4,0,4.2,0,9.8,54.5,149
2007-02-03,33.1,13.2,0,4.7,0,9.8,47.5,133.5
2007-02-04,32.2,11.9,0,2,0,9.9,47,117
2007-02-05,31.6,12.9,0,4.6,0,10,52.5,138.5
2007-02-06,33.1,13.5,0,3.5,0,10.1,54.5,133
2007-02-07,32.4,12.1,0,4.9,0,10.3,49,119
2007-02-08,35.3,11.6,0,5.1,0,10,52.5,134.5
2007-02-09,31.1,13.9,0,4.3,0,8.8,60,156
2007-02-10,32.6,14.6,0,4.4,0,9.8,54,138.5
2007-02-11,31.4,15.1,0,5.5,0,10.2,54.5,146.5
2007-02-12,29.9,15,0,5.5,0,10.3,57,157.5
2007-02-13,29.7,17.5,0,5.5,0,9.9,56.5,142.5
2007-02-14,28,11.3,0,5.4,0,10.5,60,131.5
2007-02-15,28.5,12.2,0,5.5,0,10,63,149.5
2007-02-16,29.6,12.4,0,4.5,0,10.1,56.5,138.5
2007-02-17,31.1,14.1,0,4.6,0,9.2,52,143
2007-02-18,30.6,13.7,0,5,0,9.7,58,145.5
2007-02-19,32.1,15,0,5.2,0,9.7,50,149.5
2007-02-20,31.3,18.1,0,5.5,0,9.6,40,130.5
2007-02-21,31.2,14.5,0,5.6,0,9.7,50,138
2007-02-22,32.9,14.8,0,5.8,0,10.2,53,138
2007-02-23,32.1,13.4,0,5.8,0,10.3,44,117.5
2007-02-24,32.3,13.2,0,5.5,0,10,50,130.5
2007-02-25,32.9,14.2,0,5,0,10.6,47,136
2007-02-26,33,13.8,0,6.2,0,10.4,50,134
2007-02-27,33.3,12.9,0,5.5,0,10.2,42.5,126
2007-02-28,34.3,13,0,5.4,0,10.7,36,110.5
2007-03-01,33.8,13.4,0,6.8,0,10,51.5,139.5
2007-03-02,30.6,14.5,0,6,0,9.2,58,166.5
2007-03-03,30.1,14.2,0,4.5,0,9.6,49,147.5
2007-03-04,33,14.3,0,5.8,0,10,49,145.5
2007-03-05,34,14.5,0,5.4,0,9.9,44.5,142
2007-03-06,34.6,14.9,0,4.9,0,9.6,42,129.5
2007-03-07,35.2,14.5,0,5.8,0,10,38.5,124
2007-03-08,34.7,11.5,0,6.6,0,9.8,39.5,106
2007-03-09,33.3,12.3,0,6.6,0,9.8,37,102.5
2007-03-10,33.5,12.5,0,5.8,0,9.3,38,116.5
2007-03-11,33.9,15.6,0,5.9,0,8.5,45.5,144.5
2007-03-12,34.8,18.4,0,7,0,8.1,49,155.5
2007-03-13,33.9,17.4,0,7.2,0,9.1,56,175.5
2007-03-14,33.1,14.5,0,6.4,0,9.4,44.5,143
2007-03-15,33.6,15.7,0,6.1,0,9.6,34.5,126
2007-03-16,34.7,16.2,0,6.7,0,9.6,31,117.5
2007-03-17,35.1,17.8,0,6.8,0,8.8,38,144.5
2007-03-18,36.6,17.4,0,6.6,0,9.6,35,129
2007-03-19,37.4,17.9,0,7,0,9.1,39.5,151.5
2007-03-20,38,19.1,0,7.8,0,8.3,39.5,149
2007-03-21,37.2,18.7,0,7.6,0,9.3,40.5,159
2007-03-22,36.2,18.7,0,7.5,0,8.9,36.5,135
2007-03-23,35.5,17.2,0,6.8,0,9.3,34.5,130.5
2007-03-24,37.9,18.2,0,8,0,8.9,34.5,127.5
2007-03-25,37.2,18.3,0,7.2,0,10.1,36.5,130
2007-03-26,37.1,17,0,8.5,0,10,31,118.5
2007-03-27,38,17.7,0,7.4,0,9.6,32.5,130
2007-03-28,38.3,18.8,0,7.6,0,9.1,34,133
2007-03-29,39.1,18.4,0,7.6,0,9.8,34,124
2007-03-30,39.6,18.3,0,8.1,0,9.4,31,126
2007-03-31,39.2,19.4,0,7.7,0,6.4,52.5,223
2007-04-01,38.3,21.6,0,7.4,0,8.9,51.5,216
2007-04-02,38.9,21.8,0,6.2,0,7.7,76,172.5
2007-04-03,38.8,19.3,0,7.3,0,9.2,38,159
2007-04-04,39.7,19.1,0,8.3,0,9.6,26.5,118
2007-04-05,40.4,18.6,0,8.9,0,9.9,23,108
2007-04-06,40.3,19.4,0,9.1,0,9,42,191.5
2007-04-07,40.7,24.1,0,0,0,0,52.5,219
2007-04-08,37.9,20.3,0,7.2,0,9.5,34.5,155
2007-04-09,36.9,19.6,0,8.5,0,9.3,32,138.5
2007-04-10,38,16.4,0,8.6,0,9.8,31,135.5
2007-04-11,38.8,19.8,0,8.4,0,8.4,31,140
2007-04-12,38.3,13.1,0,8.4,0,9.8,24.5,110.5
2007-04-13,37.8,17.7,0,8.8,0,9.8,30,130
2007-04-14,38.1,18.5,0,8.7,0,10.1,29.5,121
2007-04-15,38.9,20.4,0,9,0,8.5,31.5,150
2007-04-16,39.9,18.7,7.8,7.2,0,7.4,53.5,172
2007-04-17,36.4,18.1,0.3,6.1,0,9,47.5,171
2007-04-18,36.2,22.1,0,8.3,0,9.4,47.5,187
2007-04-19,37.8,21.6,0,7.7,0,8.2,36,150
2007-04-20,37.1,22.8,0,7.9,0,9.4,40,154.5
2007-04-21,36.6,22.7,0,8.5,0,10.9,44,186
2007-04-22,36.2,19,0,8.1,0,11.3,42,164.5
2007-04-23,36.8,18.4,0,10,0,11.2,28,113
2007-04-24,36.9,16.2,0,10.1,0,11.1,25,108
2007-04-25,37.7,18.5,0,9.7,0,11,26,111
2007-04-26,38.6,18.5,0,7.9,0,11,25.5,118.5
2007-04-27,40.3,22.2,0,9.2,0,10.1,33,161
2007-04-28,41.4,25.4,0,10.5,0,3.1,49.5,237
2007-04-29,38.1,24.9,0,6.4,0,8.6,47.5,219
2007-04-30,39.1,25,0,9,0,9.6,41.5,185
2007-05-01,40.6,22.6,0,10.1,0,9.1,49,219
2007-05-02,41.3,21.2,2.4,7.4,0,8.6,48.5,208.5
2007-05-03,41.5,25.4,0,9,0,9.6,28,148.5
2007-05-04,41.9,24.1,0,9.9,0,10.6,45,193
2007-05-05,39.2,22.5,0,10.2,0,9.7,34,166.5
2007-05-06,39.9,23.7,0,9.5,0,9.5,45.5,208.5
2007-05-07,39.6,24,0,7.9,0,11.2,50,223.5
2007-05-08,37,21.4,0,9,0,11.3,51.5,209
2007-05-09,36.8,22,0,10.7,0,11,52.5,219.5
